pair,asset_a,asset_b,window_start,window_end,stat,pvalue
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2022-01-26T04:27:00.000000,2022-02-25T03:27:00.000000,-2.296875554793702,0.375112888640319
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2022-01-26T16:27:00.000000,2022-02-25T15:27:00.000000,-2.0214987936921625,0.5173860324928345
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2022-10-11T14:27:00.000000,2022-11-10T13:27:00.000000,-0.9430807137008815,0.9131216486150873
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2022-11-03T14:27:00.000000,2022-12-03T13:27:00.000000,-2.228287447915154,0.4098278217509839
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2023-01-14T00:27:00.000000,2023-02-12T23:27:00.000000,-3.6728261837817597,0.01985213409977198
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2023-02-16T18:27:00.000000,2023-03-18T17:27:00.000000,-2.0490281080283856,0.5030170346868978
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2023-05-02T02:27:00.000000,2023-06-01T01:27:00.000000,-1.709135853006541,0.6727181954536372
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2023-05-07T23:27:00.000000,2023-06-06T22:27:00.000000,0.38726444686388983,0.9917753309730394
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2023-05-14T02:27:00.000000,2023-06-13T01:27:00.000000,-2.446629244131826,0.3031001755724537
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2023-05-15T13:27:00.000000,2023-06-14T12:27:00.000000,-2.4605144193757202,0.29675535346275145
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2023-05-26T08:27:00.000000,2023-06-25T07:27:00.000000,3.035086732659932,1.0
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2023-06-01T03:27:00.000000,2023-07-01T02:27:00.000000,1.618853417373575,1.0
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2023-08-06T09:27:00.000000,2023-09-05T08:27:00.000000,-2.690791578135606,0.20290802382203316
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2023-09-05T04:27:00.000000,2023-10-05T03:27:00.000000,-1.8904332067852425,0.584851083468773
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2023-10-11T02:27:00.000000,2023-11-10T01:27:00.000000,-1.4055296698349733,0.7956115416252638
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2023-10-16T03:27:00.000000,2023-11-15T02:27:00.000000,-1.7502957291246686,0.6535359649847596
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2023-11-09T02:27:00.000000,2023-12-09T01:27:00.000000,-2.700955343952579,0.19923525534993802
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2023-11-10T11:27:00.000000,2023-12-10T10:27:00.000000,-2.2904529756566885,0.3783262200095959
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2023-11-14T10:27:00.000000,2023-12-14T09:27:00.000000,-1.6682100603272096,0.6912612177279351
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2023-11-22T21:27:00.000000,2023-12-22T20:27:00.000000,-1.7712265289103988,0.6435901715357063
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2024-01-02T15:27:00.000000,2024-02-01T14:27:00.000000,-3.1972259094627824,0.07039294734639885
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2024-01-08T17:27:00.000000,2024-02-07T16:27:00.000000,-4.706352981233613,0.0005498273881072397
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2024-01-18T14:27:00.000000,2024-02-17T13:27:00.000000,-2.8124777125499523,0.16174682667165796
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2024-01-19T05:27:00.000000,2024-02-18T04:27:00.000000,-2.8464927607060555,0.1513391193589006
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2024-02-23T01:27:00.000000,2024-03-24T00:27:00.000000,-1.2683719657957462,0.8390765703115555
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2024-04-15T09:27:00.000000,2024-05-15T08:27:00.000000,-3.563193385080884,0.027189698279381606
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2024-04-19T14:27:00.000000,2024-05-19T13:27:00.000000,-3.302951325561898,0.0543309586462943
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2024-06-24T05:27:00.000000,2024-07-24T04:27:00.000000,-2.657088972961231,0.2153900728783925
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2024-08-10T06:27:00.000000,2024-09-09T05:27:00.000000,-1.4507206608629466,0.7795997819224291
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2024-08-13T12:27:00.000000,2024-09-12T11:27:00.000000,-1.8487414671261035,0.6057590126329901
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2024-08-18T06:27:00.000000,2024-09-17T05:27:00.000000,-2.4149671771295678,0.31779931679270396
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2024-09-16T19:27:00.000000,2024-10-16T18:27:00.000000,-1.130799151461891,0.8751026476612691
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2024-09-27T23:27:00.000000,2024-10-27T22:27:00.000000,-0.7064511654627275,0.9459380274827397
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2024-11-18T03:27:00.000000,2024-12-18T02:27:00.000000,-3.9279751265902734,0.009072050117977213
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2024-11-25T18:27:00.000000,2024-12-25T17:27:00.000000,-4.306669324884135,0.002499799272137341
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2024-12-08T17:27:00.000000,2025-01-07T16:27:00.000000,-2.4706087891655346,0.2921829810086401
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2024-12-13T09:27:00.000000,2025-01-12T08:27:00.000000,-1.8778324807757325,0.591206191135844
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2025-01-09T04:27:00.000000,2025-02-08T03:27:00.000000,-4.426535480544199,0.0016129808240169998
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2025-02-02T18:27:00.000000,2025-03-04T17:27:00.000000,-2.256158139282809,0.3956211300886925
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2025-02-02T20:27:00.000000,2025-03-04T19:27:00.000000,-2.0884646670631626,0.4823982749174374
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2025-02-17T14:27:00.000000,2025-03-19T13:27:00.000000,-2.0583759329150793,0.4981316524653331
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2025-03-20T16:27:00.000000,2025-04-19T15:27:00.000000,-1.7444485303143624,0.6562919824733983
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2025-03-28T08:27:00.000000,2025-04-27T07:27:00.000000,-1.0514435298142941,0.8926480255757563
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2025-04-30T07:27:00.000000,2025-05-30T06:27:00.000000,-2.8291019066810112,0.15660056062995215
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2025-08-01T12:27:00.000000,2025-08-31T11:27:00.000000,-2.246574665947878,0.4004920287231934
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2025-08-25T22:27:00.000000,2025-09-24T21:27:00.000000,-1.799580612055114,0.629925809850166
BCH_GBP-ADA_GBP,BCH_GBP,ADA_GBP,2025-10-04T17:27:00.000000,2025-11-03T16:27:00.000000,-1.4693375543111096,0.772761062970744
BCH_GBP-XRP_GBP,BCH_GBP,XRP_GBP,2021-07-30T14:27:00.000000,2021-08-29T13:27:00.000000,-3.587771617334339,0.025368089615408342
BCH_GBP-XRP_GBP,BCH_GBP,XRP_GBP,2021-10-15T08:27:00.000000,2021-11-14T07:27:00.000000,-2.64432914908268,0.220236621020989
BCH_GBP-XRP_GBP,BCH_GBP,XRP_GBP,2021-11-02T09:27:00.000000,2021-12-02T08:27:00.000000,-2.91898022703364,0.13074137163868393
BCH_GBP-XRP_GBP,BCH_GBP,XRP_GBP,2021-11-19T11:27:00.000000,2021-12-19T10:27:00.000000,-3.2285047452011337,0.06528881859846188
